Title,Genre,Country,Image_URL
Revenged Love,"Romance, Thriller",China,https://i.mydramalist.com/VXLPPL_3f.jpg
Coroner's Diary,"Mystery, Crime",China,https://i.ytimg.com/vi/g5YeRr_hQ8Q/hqdefault.jpg
Goodboy,"Action, Thriller",South Korea,https://www.kpoppost.com/wp-content/uploads/2025/05/Good-Boy.jpg
Head Over Heels,Romantic Comedy,South Korea,https://m.media-amazon.com/images/S/pv-target-images/7694ddc31c5dd4643c83ad62f17a38fa889fcd6486e4725c3603626f4068d04a.jpg
My Demon,"Fantasy, Romance",South Korea,https://seoulbeats.com/wp-content/uploads/2024/01/01242024_seoulbeats_MyDemon.jpg
Hidden Love,"Romance, Youth",China,https://images.justwatch.com/backdrop/306853997/s640/season-1
The Seven Relics of Ill Omen,"Action, Sci-Fi",China,https://media.myshows.me/shows/normal/7/9b/79b155aaec9c679ed85bb7bde1caa90f.jpg
First Love Again,"Romance, Time Travel",Taiwan,https://images.justwatch.com/backdrop/309560017/s640/first-love-again
Alice in Borderland,"Sci-fi, Thriller",Japan,"https://img.etimg.com/thumb/width-1200,height-900,imgsize-37164,resizemode-75,msid-122309322/news/international/global-trends/alice-in-borderland-season-3-release-date-plot-and-returning-cast-revealed.jpg"
Twinkling Watermelon,"Music, Youth, Drama",South Korea,https://1.vikiplatform.com/c/40131c/fb831a344d.jpg?x=b&s=480x270&e=t&q=g
Reset,"Mystery, Sci-fi",China,https://1.vikiplatform.com/c/38357c/74b0f5b892.jpg?x=b&a=0x0
Be My Favorite,Romantic Comedy,Thailand,https://image.tmdb.org/t/p/w780/uiUlBCiZkO9CNiBT9e75iIRrbVh.jpg
Someday or One Day,"Romance, Fantasy",Taiwan,https://is1-ssl.mzstatic.com/image/thumb/KAwwwhaXEeKXWb6Y3YWStw/1200x675.jpg
Gannibal,"Thriller, Mystery",Japan,"https://img10.hotstar.com/image/upload/f_auto,q_auto/sources/r1/cms/prod/8952/1741238388952-i"
Moving,"Action, Supernatural",South Korea,https://6.soompi.io/wp-content/uploads/image/20241121081624_moving-.jpeg?s=900x600&e=t
Not Me,"Thriller, Psychological",Thailand,https://qplusmagazine.com/wp-content/uploads/2022/03/NotMeFinale_Featured.png
The World Between Us,"Drama, Crime",Taiwan,https://i.ytimg.com/vi/bHA4J7c8c4I/maxresdefault.jpg
First Frost,"Historical, Romance",China,https://www.thestatesman.com/wp-content/uploads/2025/02/Screenshot-2025-02-20-225550-png.webp
Hunter with a Scalpel,"Crime, Medical, Thriller",South Korea,https://disney.images.edge.bamgrid.com/ripcut-delivery/v2/variant/disney/3f192518-7be4-4f92-8977-abcc268676ba/compose?aspectRatio=1.78&format=webp&width=1200
Our Unwritten Seoul,"Youth, Slice of Life",South Korea,https://upload.wikimedia.org/wikipedia/en/4/43/Our_Unwritten_Seoul_poster.png
Justice in the Dark,"Crime, Mystery, Thriller",China,https://www.tvtime.com/_next/image?url=https%3A%2F%2Fartworks.thetvdb.com%2Fbanners%2Fv4%2Fseries%2F431261%2Fbackgrounds%2F679aa8d10563f.jpg&w=3840&q=75
