Title,Country,Genre,Image_URL
When Life Gives You Tangerines,South Korea,Romance,https://occ-0-8407-90.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABWMEqIW8X8LCEhl7Xl-UQEpTRgycnS77DcR-fRZ4Qce2Azou2mhqzw7dYE6-AWp2dqWNPTvWZo8-O70F6KE0Gu6pQU3r2PPuUVp9.jpg?r=dd4
Hyper Knife,South Korea,Thriller,https://img1.hulu.com/user/v3/artwork/7c40414b-f55d-46ba-a7c6-9ba3bbbcf72c?base_image_bucket_name=image_manager&base_image=3a03ec49-3845-4510-81e1-050870f534ea&size=1200x630&format=webp&operations=%5B%7B%22gradient_vector%22%3A%22(0%2C0%2C0%2C0.5)%7C(0%2C0%2C0%2C0)%7C(0%2C600)%7C(0%2C240)%22%7D%2C%7B%22overlay%22%3A%7B%22position%22%3A%22SouthEast%7C(30%2C30)%22%2C%22operations%22%3A%5B%7B%22image%22%3A%22image_manager%7Cfe4f02cd-31fd-4b04-9381-55593cc97e3b%22%7D%2C%7B%22resize%22%3A%22204x204%7Cmax%22%7D%2C%7B%22extent%22%3A%22204x204%22%7D%5D%7D%7D%2C%5D
My Dear Nemesis,South Korea,Romantic Comedy,https://images.travelandleisureasia.com/wp-content/uploads/sites/3/2025/03/06131036/my-dearest-nemesis-1600x900.jpeg
Spring of Youth,South Korea,Slice of Life,https://doramaticadoramas.com.br/wp-content/uploads/2025/04/Spring-of-Youth-scaled.jpg
Mercy for None,South Korea,Crime,https://resizing.flixster.com/xscSN4-TRQ9seATBW4EhvVPrmH0=/fit-in/705x460/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p30307399_b_h9_aa.jpg
Confidence Queen,South Korea,Comedy,https://brickinfotv.com/wp-content/uploads/2025/07/confidence-queen-prime-video-thai.webp
Bon Appetit Your Majesty,South Korea,Fantasy,https://6.soompi.io/wp-content/uploads/image/20250717025136_bon-appetite-your-majesty-poster.jpg?s=900x600&e=t
Dare You to Death,Thailand,Thriller,https://i.ytimg.com/vi/FN8RA5hYImc/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLBY1UG3ARyKBaD6b4qg6iPKMXTS0g
Pit Babe Season 2,Thailand,Romance,https://images.justwatch.com/backdrop/331278788/s640/season-2
S Line,South Korea,Mystery,https://images.mid-day.com/images/images/2025/jul/sline-1752329663394_d.png
Mad Unicorn,Thailand,Fantasy,https://static.bangkokpost.com/media/content/20250531/c1_3038790_250531120711.jpg
Had I not Seen the Sun,Taiwan,Crime,https://i.mydramalist.com/x4Xvy0_4f.jpg
Enigma Black Stage,Thailand,Supernatural,https://thaistarx.com/wp-content/uploads/2025/07/084.jpg
Leap Day,Thailand,Drama,https://thaistarx.com/wp-content/uploads/2025/04/057-scaled.jpg
A Love Never Lost,China,Historical,https://pic2.iqiyipic.com/image/20250513/a2/b0/a_100467792_m_601_en_m40_1013_569.jpg
The Prisoner of Beauty,China,Suspense,https://vcover-hz-pic.wetvinfo.com/vcover_hz_pic/0/nwo9p9nml6dgm8l1747107761623/0
Youthful Glory,China,Mystery,https://1.vikiplatform.com/c/41137c/3d71cd3225.jpg?x=b
Close to You,China,Romance,https://pic4.iqiyipic.com/image/20250508/9d/47/a_100619463_m_601_en_1080_608.jpg
The legend of Zhang Hai,China, Revenge,https://overseasidol.com/wp-content/uploads/2025/05/Drama-China-Legend-of-Zang-Hai-yang-Dibintangi-Xiao-Zhan-Tayang-Hari-Ini-Begini-Sinopsinya.webp
Marry My Husband (Japan),Japan,Romance/Time Travel,https://m.media-amazon.com/images/S/pv-target-images/da35f120a64c7ce677eff8411c9f01651ebeaa384c51b56565e3566694ca9943._SX1080_FMpng_.png
Unbound,Japan,Historical,https://japan-programcatalog.com/webui/tv-program/main-image/ubound
Ameagari no Bokura ni Tsuite,Japan,BL / Drama,https://the-bl-xpress.com/wp-content/uploads/2025/07/250705_184803_043.jpg?w=672&h=372&crop=1
Cinderella Closet,Japan,Romantic Comedy,https://occ-0-8407-92.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABeYoj48m8K6QtaPXEZsPwA0aDExL_RA6D8Kfmm_c515Y8ALmyj10li1M4JjrqSHpC35_LpwsvVvVfRGu9SyCa80o64814Y9SgIen.jpg?r=5ef
Suspicious Partner,Japan,Romance/Comedy,https://1.vikiplatform.com/c/41091c/3eff577eed.jpg?x=b
Anpan,Japan,Slice of Life,https://japan-programcatalog.com/webui/tv-program/main-image/anpan
Tokyo Holiday,Japan,Romance / Youth,https://cms.dmpcdn.com/ugcarticle/2025/04/21/bab2b570-1ec5-11f0-aad9-cd69175075de_webp_original.webp
"Konbanwa, Asayama?ke desu",Japan,Family,https://drama-otaku.com/wp-content/uploads/2025/05/asamakeposter2.jpeg
Teruko to Lui,Japan,Sisterhood Drama,https://g-img.nhk.jp/assets/dfd470c2eaaf4f90a547bdabbb16d678/3e3aac6cf9b34ac2a033dbeba69b6af4/drama_terukolui_0520_og.jpg
DOCTOR PRICE,Japan,Medical,https://c.min.ms/t/d/member/c/160/160722/pagegallery/1646818423/0aa31af2.jpeg
"Nami Uraka ni, Meoto Biyori",Japan,Historical,https://m.media-amazon.com/images/M/MV5BNTI0YjZmNjctMWU3MC00MmRkLWFlODgtNDNlYWFiM2U2ODdlXkEyXkFqcGc@._V1_.jpg
